Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000         -230.582     -230.582        0.000     0.0
0.0050         -230.423     -230.580        0.157    11.2
0.0100         -230.257     -230.570        0.314    22.5
0.0150         -230.058     -230.545        0.486    34.8
0.0200         -229.881     -230.498        0.617    44.2
0.0250         -229.670     -230.430        0.760    54.5
0.0300         -229.511     -230.340        0.829    59.4
0.0350         -229.354     -230.238        0.884    63.3
0.0400         -229.166     -230.131        0.965    69.1
0.0450         -229.028     -230.028        1.000    71.6
0.0500         -228.805     -229.933        1.128    80.8
0.0550         -228.665     -229.844        1.179    84.4
0.0600         -228.483     -229.754        1.271    91.1
0.0650         -228.335     -229.663        1.328    95.2
0.0700         -228.181     -229.565        1.384    99.1
0.0750         -228.007     -229.470        1.463   104.8
0.0800         -227.835     -229.372        1.537   110.1
0.0850         -227.662     -229.282        1.620   116.1
0.0900         -227.511     -229.192        1.682   120.5
0.0950         -227.265     -229.120        1.855   132.9
0.1000         -226.999     -229.056        2.058   147.4
0.1050         -226.827     -228.981        2.154   154.3
0.1100         -226.597     -228.890        2.293   164.3
0.1150         -226.457     -228.785        2.328   166.8
0.1200         -226.353     -228.679        2.327   166.7
0.1250         -226.200     -228.583        2.382   170.6
0.1300         -226.029     -228.498        2.469   176.9
0.1350         -225.869     -228.431        2.563   183.6
0.1400         -225.769     -228.380        2.611   187.0
0.1450         -225.606     -228.317        2.711   194.2
0.1500         -225.383     -228.254        2.871   205.7
0.1550         -225.162     -228.189        3.027   216.9
0.1600         -225.037     -228.136        3.099   222.0
0.1650         -224.857     -228.106        3.249   232.7
0.1700         -224.802     -228.069        3.266   234.0
0.1750         -224.536     -228.024        3.488   249.9
0.1800         -224.293     -227.975        3.682   263.7
0.1850         -224.195     -227.906        3.711   265.8
0.1900         -223.883     -227.849        3.966   284.1
0.1950         -223.648     -227.783        4.134   296.2
0.2000         -223.437     -227.702        4.265   305.5
0.2050         -223.156     -227.613        4.457   319.3
0.2100         -222.880     -227.505        4.625   331.3
0.2150         -222.442     -227.376        4.934   353.4
0.2200         -222.216     -227.205        4.989   357.4
0.2250         -222.047     -227.019        4.971   356.1
0.2300         -221.603     -226.833        5.230   374.6
0.2350         -221.496     -226.657        5.161   369.7
0.2400         -221.288     -226.478        5.190   371.8
0.2450         -221.400     -226.312        4.912   351.8
0.2500         -221.111     -226.190        5.079   363.8
0.2550         -220.965     -226.094        5.128   367.3
0.2600         -220.736     -226.029        5.293   379.2
0.2650         -220.677     -225.967        5.290   379.0
0.2700         -220.487     -225.888        5.401   386.9
0.2750         -220.515     -225.771        5.256   376.5
0.2800         -220.381     -225.608        5.228   374.5
0.2850         -220.146     -225.408        5.263   377.0
0.2900         -219.880     -225.171        5.291   379.0
0.2950         -219.829     -224.903        5.073   363.4
0.3000         -219.594     -224.645        5.051   361.8
0.3050         -219.569     -224.456        4.888   350.1
0.3100         -219.500     -224.353        4.853   347.6
0.3150         -219.456     -224.351        4.895   350.6
0.3200         -219.316     -224.418        5.102   365.5
0.3250         -219.162     -224.550        5.387   385.9
0.3300         -218.832     -224.735        5.903   422.8
0.3350         -218.809     -224.929        6.121   438.4
0.3400         -218.553     -225.079        6.526   467.5
0.3450         -218.489     -225.157        6.668   477.7
0.3500         -218.280     -225.137        6.857   491.2
0.3550         -218.125     -225.015        6.889   493.5
0.3600         -217.830     -224.855        7.025   503.2
0.3650         -217.760     -224.705        6.945   497.5
0.3700         -217.513     -224.650        7.137   511.2
0.3750         -217.447     -224.700        7.253   519.6
0.3800         -217.258     -224.831        7.574   542.5
0.3850         -217.144     -224.970        7.826   560.6
0.3900         -216.931     -225.073        8.143   583.3
0.3950         -217.099     -225.067        7.968   570.8
0.4000         -216.938     -224.967        8.029   575.1
0.4050         -217.081     -224.786        7.705   552.0
0.4100         -216.831     -224.577        7.746   554.9
0.4150         -216.572     -224.393        7.821   560.3
0.4200         -216.390     -224.212        7.822   560.3
0.4250         -216.087     -224.052        7.965   570.6
0.4300         -215.788     -223.897        8.109   580.9
0.4350         -215.524     -223.717        8.193   586.9
0.4400         -215.364     -223.468        8.103   580.5
0.4450         -215.417     -223.196        7.780   557.3
0.4500         -215.245     -222.931        7.686   550.6
0.4550         -215.021     -222.729        7.708   552.2
0.4600         -214.924     -222.637        7.713   552.5
0.4650         -214.875     -222.698        7.823   560.4
0.4700         -214.763     -222.847        8.084   579.1
0.4750         -214.438     -223.027        8.590   615.3
0.4800         -214.449     -223.215        8.766   627.9
0.4850         -214.558     -223.341        8.783   629.2
0.4900         -214.379     -223.382        9.003   644.9
0.4950         -214.118     -223.363        9.245   662.2
0.5000         -214.141     -223.291        9.150   655.4
0.5050         -214.026     -223.186        9.160   656.2
0.5100         -214.010     -223.087        9.077   650.2
0.5150         -213.987     -223.043        9.055   648.7
0.5200         -213.987     -223.066        9.078   650.3
0.5250         -213.983     -223.111        9.128   653.9
0.5300         -213.860     -223.152        9.292   665.6
0.5350         -213.562     -223.173        9.611   688.5
0.5400         -213.523     -223.136        9.613   688.6
0.5450         -213.301     -223.048        9.747   698.2
0.5500         -213.377     -222.995        9.617   688.9
0.5550         -213.529     -223.010        9.482   679.2
0.5600         -213.546     -223.125        9.579   686.2
0.5650         -213.409     -223.313        9.904   709.5
0.5700         -213.487     -223.522       10.035   718.9
0.5750         -213.461     -223.668       10.208   731.2
0.5800         -213.291     -223.703       10.412   745.8
0.5850         -213.299     -223.569       10.271   735.7
0.5900         -213.144     -223.283       10.140   726.3
0.5950         -213.249     -222.897        9.648   691.1
0.6000         -213.139     -222.485        9.346   669.5
0.6050         -212.914     -222.121        9.207   659.5
0.6100         -212.624     -221.886        9.262   663.4
0.6150         -212.573     -221.802        9.229   661.1
0.6200         -212.309     -221.823        9.514   681.5
0.6250         -212.185     -221.952        9.767   699.7
0.6300         -212.213     -222.118        9.905   709.5
0.6350         -212.011     -222.252       10.242   733.6
0.6400         -211.769     -222.327       10.558   756.3
0.6450         -211.499     -222.359       10.860   777.9
0.6500         -211.267     -222.330       11.063   792.5
0.6550         -211.274     -222.223       10.949   784.3
0.6600         -211.060     -222.083       11.023   789.6
0.6650         -210.896     -221.936       11.040   790.8
0.6700         -210.678     -221.807       11.129   797.2
0.6750         -210.726     -221.742       11.016   789.1
0.6800         -210.951     -221.703       10.752   770.2
0.6850         -211.010     -221.703       10.693   766.0
0.6900         -210.813     -221.722       10.908   781.4
0.6950         -210.899     -221.745       10.846   777.0
0.7000         -210.797     -221.731       10.934   783.2
0.7050         -210.689     -221.701       11.012   788.8
0.7100         -210.671     -221.701       11.030   790.1
0.7150         -210.568     -221.725       11.156   799.2
0.7200         -210.786     -221.796       11.010   788.7
0.7250         -210.511     -221.837       11.325   811.3
0.7300         -210.080     -221.787       11.707   838.6
0.7350         -210.037     -221.623       11.586   829.9
0.7400         -209.836     -221.397       11.561   828.1
0.7450         -210.006     -221.117       11.111   795.9
0.7500         -209.945     -220.860       10.914   781.8
0.7550         -209.676     -220.687       11.011   788.7
0.7600         -209.798     -220.603       10.805   774.0
0.7650         -209.594     -220.622       11.028   790.0
0.7700         -209.336     -220.668       11.332   811.7
0.7750         -208.949     -220.754       11.805   845.6
0.7800         -208.839     -220.848       12.008   860.2
0.7850         -208.799     -220.895       12.096   866.5
0.7900         -208.665     -220.935       12.270   878.9
0.7950         -208.794     -220.956       12.162   871.2
0.8000         -208.815     -220.935       12.120   868.2
0.8050         -208.863     -220.875       12.011   860.4
0.8100         -208.733     -220.777       12.044   862.8
0.8150         -208.599     -220.618       12.019   860.9
0.8200         -208.526     -220.408       11.882   851.1
0.8250         -208.291     -220.169       11.878   850.8
0.8300         -208.147     -219.908       11.760   842.4
0.8350         -207.931     -219.640       11.709   838.8
0.8400         -207.716     -219.379       11.662   835.4
0.8450         -207.527     -219.135       11.607   831.5
0.8500         -207.165     -218.917       11.752   841.8
0.8550         -207.177     -218.730       11.554   827.6
0.8600         -206.747     -218.622       11.875   850.6
0.8650         -206.584     -218.601       12.017   860.8
0.8700         -206.148     -218.611       12.462   892.7
0.8750         -205.977     -218.597       12.619   904.0
0.8800         -205.881     -218.583       12.701   909.8
0.8850         -205.826     -218.524       12.698   909.6
0.8900         -205.868     -218.419       12.551   899.1
0.8950         -205.863     -218.302       12.439   891.0
0.9000         -205.645     -218.190       12.545   898.6
0.9050         -205.353     -218.092       12.739   912.5
0.9100         -205.207     -218.008       12.801   917.0
0.9150         -204.871     -217.984       13.113   939.3
0.9200         -204.698     -218.071       13.373   958.0
0.9250         -204.800     -218.223       13.423   961.5
0.9300         -204.463     -218.368       13.905   996.1
0.9350         -204.853     -218.445       13.592   973.6
0.9400         -205.030     -218.425       13.395   959.5
0.9450         -204.905     -218.313       13.408   960.4
0.9500         -204.607     -218.124       13.517   968.3
0.9550         -204.444     -217.857       13.413   960.8
0.9600         -204.319     -217.522       13.203   945.8
0.9650         -204.273     -217.146       12.872   922.1
0.9700         -204.017     -216.772       12.755   913.7
0.9750         -204.058     -216.526       12.468   893.1
0.9800         -204.280     -216.418       12.138   869.5
0.9850         -204.122     -216.521       12.399   888.2
0.9900         -203.909     -216.784       12.875   922.3
0.9950         -203.818     -217.068       13.249   949.1
1.0000         -203.516     -217.244       13.728   983.4
1.0050         -203.633     -217.263       13.631   976.4
1.0100         -203.581     -217.114       13.534   969.5
1.0150         -203.527     -216.862       13.335   955.2
1.0200         -203.427     -216.571       13.144   941.5
1.0250         -203.363     -216.344       12.981   929.9
1.0300         -203.158     -216.224       13.066   935.9
1.0350         -202.986     -216.185       13.199   945.5
1.0400         -202.951     -216.196       13.245   948.8
1.0450         -202.820     -216.185       13.365   957.4
1.0500         -202.546     -216.189       13.644   977.3
1.0550         -202.448     -216.227       13.779   987.0
1.0600         -202.331     -216.279       13.948   999.1
1.0650         -202.229     -216.361       14.132  1012.3
1.0700         -202.222     -216.463       14.241  1020.1
1.0750         -202.207     -216.579       14.372  1029.5
1.0800         -202.203     -216.699       14.496  1038.4
1.0850         -202.273     -216.802       14.529  1040.8
1.0900         -202.113     -216.895       14.782  1058.9
1.0950         -202.182     -217.002       14.820  1061.6
1.1000         -202.182     -217.072       14.889  1066.6
1.1050         -202.414     -217.069       14.655  1049.8
1.1100         -202.498     -217.012       14.514  1039.6
1.1150         -202.373     -216.960       14.587  1044.9
1.1200         -202.306     -216.893       14.587  1044.9
1.1250         -202.225     -216.823       14.598  1045.7
1.1300         -202.212     -216.740       14.528  1040.6
1.1350         -202.147     -216.613       14.466  1036.2
1.1400         -202.133     -216.480       14.347  1027.7
1.1450         -202.334     -216.331       13.997  1002.7
1.1500         -202.490     -216.200       13.710   982.1
1.1550         -202.517     -216.044       13.527   968.9
1.1600         -202.522     -215.856       13.333   955.1
1.1650         -202.413     -215.615       13.203   945.7
1.1700         -202.324     -215.392       13.068   936.1
1.1750         -202.138     -215.282       13.144   941.6
1.1800         -201.989     -215.242       13.253   949.3
1.1850         -201.819     -215.273       13.454   963.8
1.1900         -201.568     -215.316       13.748   984.8
1.1950         -201.488     -215.325       13.837   991.2
1.2000         -201.267     -215.267       14.000  1002.8
1.2050         -201.261     -215.108       13.847   991.9
1.2100         -201.575     -214.862       13.287   951.8
1.2150         -201.515     -214.635       13.120   939.8
1.2200         -201.327     -214.493       13.166   943.1
1.2250         -201.303     -214.452       13.149   941.9
1.2300         -200.890     -214.511       13.621   975.7
1.2350         -200.825     -214.701       13.877   994.0
1.2400         -201.026     -214.998       13.971  1000.8
1.2450         -200.940     -215.383       14.443  1034.6
1.2500         -200.919     -215.801       14.883  1066.1
1.2550         -200.681     -216.202       15.521  1111.8
1.2600         -200.375     -216.514       16.139  1156.1
1.2650         -200.532     -216.641       16.109  1153.9
1.2700         -200.324     -216.610       16.285  1166.6
1.2750         -200.057     -216.426       16.369  1172.6
1.2800         -199.868     -216.135       16.267  1165.3
1.2850         -199.819     -215.808       15.989  1145.3
1.2900         -199.746     -215.568       15.822  1133.4
1.2950         -199.598     -215.437       15.839  1134.6
